species	type	cnt	cnt.est	method	sample	coverage
Pseudomonas aeruginosa	multidrug	30.0	1.0	assembly-based	HQ	1
Pseudomonas aeruginosa	phenicol	1.0	0.0	assembly-based	HQ	1
Salmonella enterica	aminoglycoside	1.0	0.0	assembly-based	HQ	1
Salmonella enterica	bacitracin	2.0	0.0	assembly-based	HQ	1
Salmonella enterica	bacteriocin	1.0	0.0	assembly-based	HQ	1
Salmonella enterica	biocide	3.0	0.0	assembly-based	HQ	1
Salmonella enterica	colistin	10.0	0.0	assembly-based	HQ	1
Salmonella enterica	fosmidomycin	1.0	0.0	assembly-based	HQ	1
Salmonella enterica	macrolide-lincosamide-streptogramin	2.0	0.0	assembly-based	HQ	1
Salmonella enterica	multidrug	25.0	0.0	assembly-based	HQ	1
Staphylococcus aureus	bacitracin	1.0	0.0	assembly-based	HQ	1
Staphylococcus aureus	bacteriocin	2.0	2.0	assembly-based	HQ	1
Staphylococcus aureus	biocide	1.0	0.0	assembly-based	HQ	1
Staphylococcus aureus	defensin	9.0	0.0	assembly-based	HQ	1
Staphylococcus aureus	fatty_acid	1.0	0.0	assembly-based	HQ	1
Staphylococcus aureus	fosfomycin	1.0	0.0	assembly-based	HQ	1
Staphylococcus aureus	multidrug	8.0	0.0	assembly-based	HQ	1
Staphylococcus aureus	tetracycline	1.0	0.0	assembly-based	HQ	1
Staphylococcus pseudintermedius	bacitracin	1.0	0.0	assembly-based	HQ	1
Staphylococcus pseudintermedius	beta-lactam	1.0	0.0	assembly-based	HQ	1
Staphylococcus pseudintermedius	defensin	5.0	0.0	assembly-based	HQ	1
Staphylococcus pseudintermedius	multidrug	2.0	0.0	assembly-based	HQ	1
Streptococcus agalactiae	bacitracin	1.0	0.0	assembly-based	HQ	1
Streptococcus agalactiae	bacteriocin	1.0	0.0	assembly-based	HQ	1
Streptococcus agalactiae	defensin	5.0	0.0	assembly-based	HQ	1
Streptococcus agalactiae	macrolide-lincosamide-streptogramin	1.0	0.0	assembly-based	HQ	1
Streptococcus agalactiae	tetracycline	1.0	0.0	assembly-based	HQ	1
Streptococcus pyogenes	bacitracin	1.0	0.0	assembly-based	HQ	1
Streptococcus pyogenes	defensin	4.0	0.0	assembly-based	HQ	1
Streptococcus suis	aminoglycoside	1.0	0.0	assembly-based	HQ	1
Streptococcus suis	bacitracin	1.0	0.0	assembly-based	HQ	1
Streptococcus suis	defensin	4.0	0.0	assembly-based	HQ	1
Streptococcus suis	macrolide-lincosamide-streptogramin	1.0	0.0	assembly-based	HQ	1
Streptococcus suis	phenicol	1.0	0.0	assembly-based	HQ	1
Streptococcus suis	tetracycline	4.0	0.0	assembly-based	HQ	1
Vibrio cholerae	bacitracin	1.0	1.0	assembly-based	HQ	1
Vibrio cholerae	beta-lactam	1.0	0.0	assembly-based	HQ	1
Vibrio cholerae	biocide	1.0	0.0	assembly-based	HQ	1
Vibrio cholerae	colistin	3.0	0.0	assembly-based	HQ	1
Vibrio cholerae	macrolide-lincosamide-streptogramin	1.0	1.0	assembly-based	HQ	1
Vibrio cholerae	multidrug	19.0	1.0	assembly-based	HQ	1
Vibrio cholerae	phenicol	1.0	0.0	assembly-based	HQ	1
Vibrio parahaemolyticus	bacitracin	1.0	0.0	assembly-based	HQ	1
Vibrio parahaemolyticus	beta-lactam	1.0	0.0	assembly-based	HQ	1
Vibrio parahaemolyticus	biocide	5.0	0.0	assembly-based	HQ	1
Vibrio parahaemolyticus	macrolide-lincosamide-streptogramin	2.0	0.0	assembly-based	HQ	1
Vibrio parahaemolyticus	multidrug	19.0	0.0	assembly-based	HQ	1
Vibrio parahaemolyticus	phenicol	1.0	0.0	assembly-based	HQ	1
Vibrio parahaemolyticus	quinolone	1.0	0.0	assembly-based	HQ	1
Vibrio parahaemolyticus	tetracycline	2.0	0.0	assembly-based	HQ	1
Klebsiella quasipneumoniae	multidrug	0.0	1.0	assembly-based	HQ	1
Klebsiella quasivariicola	biocide	0.0	1.0	assembly-based	HQ	1
unclassified	multidrug	0.0	1.0	assembly-based	HQ	1
Acinetobacter baumannii	aminoglycoside	1.0	0.0	assembly-based	HQ	2
Acinetobacter baumannii	bacitracin	1.0	0.0	assembly-based	HQ	2
Acinetobacter baumannii	beta-lactam	3.0	0.0	assembly-based	HQ	2
Acinetobacter baumannii	biocide	1.0	0.0	assembly-based	HQ	2
Acinetobacter baumannii	fosfomycin	1.0	0.0	assembly-based	HQ	2
Acinetobacter baumannii	macrolide-lincosamide-streptogramin	2.0	0.0	assembly-based	HQ	2
Acinetobacter baumannii	multidrug	14.0	4.0	assembly-based	HQ	2
Acinetobacter baumannii	phenicol	2.0	0.0	assembly-based	HQ	2
Bacillus cereus	bacitracin	1.0	0.0	assembly-based	HQ	2
Bacillus cereus	beta-lactam	5.0	1.0	assembly-based	HQ	2
Bacillus cereus	defensin	6.0	0.0	assembly-based	HQ	2
Bacillus cereus	fosfomycin	1.0	0.0	assembly-based	HQ	2
Bacillus cereus	macrolide-lincosamide-streptogramin	2.0	0.0	assembly-based	HQ	2
Bacillus cereus	phenicol	1.0	0.0	assembly-based	HQ	2
Bacillus cereus	streptothricin	1.0	0.0	assembly-based	HQ	2
Bacillus cereus	tetracycline	1.0	1.0	assembly-based	HQ	2
Campylobacter jejuni	bacitracin	1.0	0.0	assembly-based	HQ	2
Campylobacter jejuni	beta-lactam	1.0	0.0	assembly-based	HQ	2
Campylobacter jejuni	colistin	1.0	0.0	assembly-based	HQ	2
Campylobacter jejuni	multidrug	6.0	0.0	assembly-based	HQ	2
Citrobacter freundii	aminoglycoside	1.0	0.0	assembly-based	HQ	2
Citrobacter freundii	bacitracin	2.0	0.0	assembly-based	HQ	2
Citrobacter freundii	bacteriocin	2.0	1.0	assembly-based	HQ	2
Citrobacter freundii	beta-lactam	1.0	0.0	assembly-based	HQ	2
Citrobacter freundii	biocide	3.0	0.0	assembly-based	HQ	2
Citrobacter freundii	colistin	10.0	4.0	assembly-based	HQ	2
Citrobacter freundii	fosmidomycin	1.0	0.0	assembly-based	HQ	2
Citrobacter freundii	macrolide-lincosamide-streptogramin	2.0	0.0	assembly-based	HQ	2
Citrobacter freundii	multidrug	24.0	5.0	assembly-based	HQ	2
Clostridioides difficile	bacitracin	2.0	0.0	assembly-based	HQ	2
Clostridioides difficile	beta-lactam	1.0	0.0	assembly-based	HQ	2
Clostridioides difficile	biocide	1.0	0.0	assembly-based	HQ	2
Clostridioides difficile	defensin	3.0	0.0	assembly-based	HQ	2
Clostridioides difficile	glycopeptide	2.0	0.0	assembly-based	HQ	2
Clostridioides difficile	macrolide-lincosamide-streptogramin	1.0	0.0	assembly-based	HQ	2
Clostridioides difficile	multidrug	2.0	0.0	assembly-based	HQ	2
Clostridioides difficile	nitroimidazole	1.0	0.0	assembly-based	HQ	2
Enterobacter cloacae	bacitracin	2.0	3.0	assembly-based	HQ	2
Enterobacter cloacae	bacteriocin	1.0	2.0	assembly-based	HQ	2
Enterobacter cloacae	beta-lactam	2.0	0.0	assembly-based	HQ	2
Enterobacter cloacae	biocide	2.0	1.0	assembly-based	HQ	2
Enterobacter cloacae	colistin	10.0	3.0	assembly-based	HQ	2
Enterobacter cloacae	fosfomycin	1.0	1.0	assembly-based	HQ	2
Enterobacter cloacae	fosmidomycin	1.0	1.0	assembly-based	HQ	2
Enterobacter cloacae	macrolide-lincosamide-streptogramin	2.0	0.0	assembly-based	HQ	2
Enterobacter cloacae	multidrug	21.0	14.0	assembly-based	HQ	2
Enterobacter hormaechei	bacitracin	2.0	0.0	assembly-based	HQ	2
Enterobacter hormaechei	bacteriocin	1.0	0.0	assembly-based	HQ	2
Enterobacter hormaechei	beta-lactam	1.0	0.0	assembly-based	HQ	2
Enterobacter hormaechei	biocide	2.0	0.0	assembly-based	HQ	2
Enterobacter hormaechei	colistin	10.0	1.0	assembly-based	HQ	2
Enterobacter hormaechei	fosfomycin	1.0	0.0	assembly-based	HQ	2
Enterobacter hormaechei	fosmidomycin	1.0	0.0	assembly-based	HQ	2
Enterobacter hormaechei	macrolide-lincosamide-streptogramin	3.0	0.0	assembly-based	HQ	2
Enterobacter hormaechei	multidrug	19.0	0.0	assembly-based	HQ	2
Enterobacter hormaechei	phenicol	1.0	0.0	assembly-based	HQ	2
Enterococcus faecium	aminoglycoside	2.0	1.0	assembly-based	HQ	2
Enterococcus faecium	bacitracin	1.0	0.0	assembly-based	HQ	2
Enterococcus faecium	defensin	6.0	0.0	assembly-based	HQ	2
Enterococcus faecium	fosfomycin	1.0	1.0	assembly-based	HQ	2
Enterococcus faecium	glycopeptide	2.0	0.0	assembly-based	HQ	2
Enterococcus faecium	macrolide-lincosamide-streptogramin	1.0	0.0	assembly-based	HQ	2
Enterococcus faecium	multidrug	3.0	1.0	assembly-based	HQ	2
Escherichia coli	bacitracin	2.0	0.0	assembly-based	HQ	2
Escherichia coli	bacteriocin	2.0	0.0	assembly-based	HQ	2
Escherichia coli	beta-lactam	1.0	0.0	assembly-based	HQ	2
Escherichia coli	biocide	2.0	0.0	assembly-based	HQ	2
Escherichia coli	colistin	10.0	0.0	assembly-based	HQ	2
Escherichia coli	fosmidomycin	1.0	0.0	assembly-based	HQ	2
Escherichia coli	macrolide-lincosamide-streptogramin	2.0	0.0	assembly-based	HQ	2
Escherichia coli	multidrug	30.0	0.0	assembly-based	HQ	2
Klebsiella pneumoniae	aminoglycoside	5.0	0.0	assembly-based	HQ	2
Klebsiella pneumoniae	bacitracin	2.0	0.0	assembly-based	HQ	2
Klebsiella pneumoniae	beta-lactam	7.0	0.0	assembly-based	HQ	2
Klebsiella pneumoniae	biocide	4.0	0.0	assembly-based	HQ	2
Klebsiella pneumoniae	colistin	10.0	3.0	assembly-based	HQ	2
Klebsiella pneumoniae	fosfomycin	1.0	0.0	assembly-based	HQ	2
Klebsiella pneumoniae	fosmidomycin	1.0	0.0	assembly-based	HQ	2
Klebsiella pneumoniae	macrolide-lincosamide-streptogramin	2.0	0.0	assembly-based	HQ	2
Klebsiella pneumoniae	multidrug	27.0	4.0	assembly-based	HQ	2
Klebsiella pneumoniae	phenicol	1.0	0.0	assembly-based	HQ	2
Klebsiella pneumoniae	sulfonamide	1.0	0.0	assembly-based	HQ	2
Klebsiella pneumoniae	tetracycline	1.0	0.0	assembly-based	HQ	2
Klebsiella pneumoniae	trimethoprim	1.0	0.0	assembly-based	HQ	2
Legionella pneumophila	aminoglycoside	1.0	1.0	assembly-based	HQ	2
Legionella pneumophila	beta-lactam	1.0	1.0	assembly-based	HQ	2
Legionella pneumophila	biocide	1.0	1.0	assembly-based	HQ	2
Listeria monocytogenes	bacteriocin	2.0	2.0	assembly-based	HQ	2
Listeria monocytogenes	biocide	4.0	2.0	assembly-based	HQ	2
Listeria monocytogenes	defensin	5.0	0.0	assembly-based	HQ	2
Listeria monocytogenes	fosfomycin	1.0	0.0	assembly-based	HQ	2
Listeria monocytogenes	macrolide-lincosamide-streptogramin	1.0	1.0	assembly-based	HQ	2
Listeria monocytogenes	multidrug	5.0	2.0	assembly-based	HQ	2
Listeria monocytogenes	rifamycin	1.0	0.0	assembly-based	HQ	2
Mycobacterium tuberculosis	aminoglycoside	1.0	0.0	assembly-based	HQ	2
Mycobacterium tuberculosis	bacitracin	1.0	0.0	assembly-based	HQ	2
Mycobacterium tuberculosis	beta-lactam	1.0	0.0	assembly-based	HQ	2
Mycobacterium tuberculosis	defensin	1.0	0.0	assembly-based	HQ	2
Mycobacterium tuberculosis	doxorubicin	2.0	0.0	assembly-based	HQ	2
Mycobacterium tuberculosis	macrolide-lincosamide-streptogramin	1.0	0.0	assembly-based	HQ	2
Mycobacterium tuberculosis	multidrug	7.0	2.0	assembly-based	HQ	2
Mycobacterium tuberculosis	quinolone	1.0	0.0	assembly-based	HQ	2
Neisseria gonorrhoeae	bacitracin	1.0	0.0	assembly-based	HQ	2
Neisseria gonorrhoeae	fatty_acid	2.0	2.0	assembly-based	HQ	2
Neisseria gonorrhoeae	macrolide-lincosamide-streptogramin	2.0	2.0	assembly-based	HQ	2
Neisseria gonorrhoeae	multidrug	4.0	1.0	assembly-based	HQ	2
Neisseria gonorrhoeae	sulfonamide	1.0	0.0	assembly-based	HQ	2
Neisseria meningitidis	bacitracin	1.0	0.0	assembly-based	HQ	2
Neisseria meningitidis	fatty_acid	2.0	0.0	assembly-based	HQ	2
Neisseria meningitidis	macrolide-lincosamide-streptogramin	2.0	0.0	assembly-based	HQ	2
Neisseria meningitidis	multidrug	4.0	3.0	assembly-based	HQ	2
Neisseria meningitidis	sulfonamide	1.0	1.0	assembly-based	HQ	2
Providencia alcalifaciens	aminoglycoside	1.0	0.0	assembly-based	HQ	2
Providencia alcalifaciens	bacitracin	1.0	0.0	assembly-based	HQ	2
Providencia alcalifaciens	beta-lactam	1.0	0.0	assembly-based	HQ	2
Providencia alcalifaciens	biocide	1.0	0.0	assembly-based	HQ	2
Providencia alcalifaciens	colistin	8.0	0.0	assembly-based	HQ	2
Providencia alcalifaciens	macrolide-lincosamide-streptogramin	2.0	0.0	assembly-based	HQ	2
Providencia alcalifaciens	multidrug	13.0	4.0	assembly-based	HQ	2
Providencia alcalifaciens	quinolone	1.0	1.0	assembly-based	HQ	2
Pseudomonas aeruginosa	aminoglycoside	1.0	0.0	assembly-based	HQ	2
Pseudomonas aeruginosa	bacitracin	1.0	0.0	assembly-based	HQ	2
Pseudomonas aeruginosa	beta-lactam	2.0	0.0	assembly-based	HQ	2
Pseudomonas aeruginosa	biocide	6.0	0.0	assembly-based	HQ	2
Pseudomonas aeruginosa	colistin	9.0	5.0	assembly-based	HQ	2
Pseudomonas aeruginosa	defensin	1.0	0.0	assembly-based	HQ	2
Pseudomonas aeruginosa	fosfomycin	1.0	0.0	assembly-based	HQ	2
Pseudomonas aeruginosa	macrolide-lincosamide-streptogramin	1.0	0.0	assembly-based	HQ	2
Pseudomonas aeruginosa	multidrug	30.0	1.0	assembly-based	HQ	2
Pseudomonas aeruginosa	phenicol	1.0	0.0	assembly-based	HQ	2
Salmonella enterica	aminoglycoside	1.0	1.0	assembly-based	HQ	2
Salmonella enterica	bacitracin	2.0	0.0	assembly-based	HQ	2
Salmonella enterica	bacteriocin	1.0	1.0	assembly-based	HQ	2
Salmonella enterica	biocide	3.0	1.0	assembly-based	HQ	2
Salmonella enterica	colistin	10.0	1.0	assembly-based	HQ	2
Salmonella enterica	fosmidomycin	1.0	0.0	assembly-based	HQ	2
Salmonella enterica	macrolide-lincosamide-streptogramin	2.0	0.0	assembly-based	HQ	2
Salmonella enterica	multidrug	25.0	2.0	assembly-based	HQ	2
Staphylococcus aureus	bacitracin	1.0	0.0	assembly-based	HQ	2
Staphylococcus aureus	bacteriocin	2.0	0.0	assembly-based	HQ	2
Staphylococcus aureus	biocide	1.0	0.0	assembly-based	HQ	2
Staphylococcus aureus	defensin	9.0	0.0	assembly-based	HQ	2
Staphylococcus aureus	fatty_acid	1.0	1.0	assembly-based	HQ	2
Staphylococcus aureus	fosfomycin	1.0	0.0	assembly-based	HQ	2
Staphylococcus aureus	multidrug	8.0	2.0	assembly-based	HQ	2
Staphylococcus aureus	tetracycline	1.0	0.0	assembly-based	HQ	2
Staphylococcus pseudintermedius	bacitracin	1.0	1.0	assembly-based	HQ	2
Staphylococcus pseudintermedius	beta-lactam	1.0	0.0	assembly-based	HQ	2
Staphylococcus pseudintermedius	defensin	5.0	1.0	assembly-based	HQ	2
Staphylococcus pseudintermedius	multidrug	2.0	0.0	assembly-based	HQ	2
Streptococcus agalactiae	bacitracin	1.0	0.0	assembly-based	HQ	2
Streptococcus agalactiae	bacteriocin	1.0	0.0	assembly-based	HQ	2
Streptococcus agalactiae	defensin	5.0	0.0	assembly-based	HQ	2
Streptococcus agalactiae	macrolide-lincosamide-streptogramin	1.0	0.0	assembly-based	HQ	2
Streptococcus agalactiae	tetracycline	1.0	0.0	assembly-based	HQ	2
Streptococcus pyogenes	bacitracin	1.0	0.0	assembly-based	HQ	2
Streptococcus pyogenes	defensin	4.0	1.0	assembly-based	HQ	2
Streptococcus suis	aminoglycoside	1.0	0.0	assembly-based	HQ	2
Streptococcus suis	bacitracin	1.0	0.0	assembly-based	HQ	2
Streptococcus suis	defensin	4.0	0.0	assembly-based	HQ	2
Streptococcus suis	macrolide-lincosamide-streptogramin	1.0	0.0	assembly-based	HQ	2
Streptococcus suis	phenicol	1.0	0.0	assembly-based	HQ	2
Streptococcus suis	tetracycline	4.0	0.0	assembly-based	HQ	2
Vibrio cholerae	bacitracin	1.0	1.0	assembly-based	HQ	2
Vibrio cholerae	beta-lactam	1.0	0.0	assembly-based	HQ	2
Vibrio cholerae	biocide	1.0	1.0	assembly-based	HQ	2
Vibrio cholerae	colistin	3.0	0.0	assembly-based	HQ	2
Vibrio cholerae	macrolide-lincosamide-streptogramin	1.0	0.0	assembly-based	HQ	2
Vibrio cholerae	multidrug	19.0	4.0	assembly-based	HQ	2
Vibrio cholerae	phenicol	1.0	1.0	assembly-based	HQ	2
Vibrio parahaemolyticus	bacitracin	1.0	0.0	assembly-based	HQ	2
Vibrio parahaemolyticus	beta-lactam	1.0	0.0	assembly-based	HQ	2
Vibrio parahaemolyticus	biocide	5.0	1.0	assembly-based	HQ	2
Vibrio parahaemolyticus	macrolide-lincosamide-streptogramin	2.0	0.0	assembly-based	HQ	2
Vibrio parahaemolyticus	multidrug	19.0	5.0	assembly-based	HQ	2
Vibrio parahaemolyticus	phenicol	1.0	0.0	assembly-based	HQ	2
Vibrio parahaemolyticus	quinolone	1.0	0.0	assembly-based	HQ	2
Vibrio parahaemolyticus	tetracycline	2.0	1.0	assembly-based	HQ	2
Salmonella enterica	beta-lactam	0.0	1.0	assembly-based	HQ	2
Staphylococcus pseudintermedius	bacteriocin	0.0	2.0	assembly-based	HQ	2
Acinetobacter baumannii	aminoglycoside	1.0	1.0	assembly-based	HQ	4
