species	type	subtype	carrier	cnt
Enterococcus faecalis	multidrug	emeA	chromosome	1.0
Escherichia coli	bacitracin	bacA	chromosome	2.0
Escherichia coli	bacteriocin	cbrA	chromosome	1.0
Escherichia coli	bacteriocin	yojI	chromosome	1.0
Escherichia coli	beta-lactam	blaEC	chromosome	1.0
Escherichia coli	biocide	dinF	chromosome	1.0
Escherichia coli	biocide	sugE	chromosome	1.0
Escherichia coli	colistin	arnA	chromosome	1.0
Escherichia coli	colistin	arnB	chromosome	1.0
Escherichia coli	colistin	arnC	chromosome	1.0
Escherichia coli	colistin	arnD	chromosome	1.0
Escherichia coli	colistin	arnE	chromosome	1.0
Escherichia coli	colistin	arnF	chromosome	1.0
Escherichia coli	colistin	arnT	chromosome	1.0
Escherichia coli	colistin	eptA	chromosome	1.0
Escherichia coli	colistin	eptB	chromosome	1.0
Escherichia coli	colistin	ugd	chromosome	1.0
Escherichia coli	fosmidomycin	fsr	chromosome	1.0
Escherichia coli	macrolide-lincosamide-streptogramin	macA	chromosome	1.0
Escherichia coli	macrolide-lincosamide-streptogramin	macB	chromosome	1.0
Escherichia coli	multidrug	acrA	chromosome	1.0
Escherichia coli	multidrug	acrB	chromosome	1.0
Escherichia coli	multidrug	acrD	chromosome	1.0
Escherichia coli	multidrug	acrE	chromosome	1.0
Escherichia coli	multidrug	acrF	chromosome	1.0
Escherichia coli	multidrug	bcr	chromosome	1.0
Escherichia coli	multidrug	emrA	chromosome	1.0
Escherichia coli	multidrug	emrB	chromosome	1.0
Escherichia coli	multidrug	emrD	chromosome	1.0
Escherichia coli	multidrug	emrE	chromosome	1.0
Escherichia coli	multidrug	emrK	chromosome	1.0
Escherichia coli	multidrug	emrY	chromosome	1.0
Escherichia coli	multidrug	mdfA	chromosome	1.0
Escherichia coli	multidrug	mdtA	chromosome	1.0
Escherichia coli	multidrug	mdtB	chromosome	1.0
Escherichia coli	multidrug	mdtC	chromosome	1.0
Escherichia coli	multidrug	mdtE	chromosome	1.0
Escherichia coli	multidrug	mdtF	chromosome	1.0
Escherichia coli	multidrug	mdtG	chromosome	1.0
Escherichia coli	multidrug	mdtH	chromosome	1.0
Escherichia coli	multidrug	mdtI	chromosome	1.0
Escherichia coli	multidrug	mdtJ	chromosome	1.0
Escherichia coli	multidrug	mdtK	chromosome	1.0
Escherichia coli	multidrug	mdtL	chromosome	1.0
Escherichia coli	multidrug	mdtM	chromosome	1.0
Escherichia coli	multidrug	mdtO	chromosome	1.0
Escherichia coli	multidrug	mdtP	chromosome	1.0
Escherichia coli	multidrug	mdtQ	chromosome	1.0
Escherichia coli	multidrug	smdA	chromosome	1.0
Escherichia coli	multidrug	tolC	chromosome	1.0
Fusobacterium nucleatum	bacitracin	bacA	chromosome	1.0
Helicobacter pylori	colistin	lpxE	chromosome	1.0
Helicobacter pylori	colistin	lpxF	chromosome	1.0
Helicobacter pylori	multidrug	hefA	chromosome	1.0
Helicobacter pylori	multidrug	hefB	chromosome	1.0
Helicobacter pylori	multidrug	hefC	chromosome	1.0
Lactiplantibacillus plantarum	bacitracin	bacA	chromosome	1.0
Lactiplantibacillus plantarum	defensin	dltA	chromosome	1.0
Lactiplantibacillus plantarum	defensin	dltB	chromosome	1.0
Lactiplantibacillus plantarum	defensin	dltC	chromosome	2.0
Lactiplantibacillus plantarum	defensin	dltD	chromosome	1.0
Lactiplantibacillus plantarum	defensin	mprF	chromosome	1.0
Phocaeicola vulgatus	beta-lactam	bla*	chromosome	1.0
Salmonella enterica	aminoglycoside	aac(6')-I	chromosome	1.0
Salmonella enterica	bacitracin	bacA	chromosome	2.0
Salmonella enterica	bacteriocin	yojI	chromosome	1.0
Salmonella enterica	biocide	dinF	chromosome	1.0
Salmonella enterica	biocide	smvA	chromosome	1.0
Salmonella enterica	biocide	sugE	chromosome	1.0
Salmonella enterica	colistin	arnA	chromosome	1.0
Salmonella enterica	colistin	arnB	chromosome	1.0
Salmonella enterica	colistin	arnC	chromosome	1.0
Salmonella enterica	colistin	arnD	chromosome	1.0
Salmonella enterica	colistin	arnE	chromosome	1.0
Salmonella enterica	colistin	arnF	chromosome	1.0
Salmonella enterica	colistin	arnT	chromosome	1.0
Salmonella enterica	colistin	eptA	chromosome	1.0
Salmonella enterica	colistin	eptB	chromosome	1.0
Salmonella enterica	colistin	ugd	chromosome	1.0
Salmonella enterica	fosmidomycin	fsr	chromosome	1.0
Salmonella enterica	macrolide-lincosamide-streptogramin	macA	chromosome	1.0
Salmonella enterica	macrolide-lincosamide-streptogramin	macB	chromosome	1.0
Salmonella enterica	multidrug	acrA	chromosome	1.0
Salmonella enterica	multidrug	acrB	chromosome	1.0
Salmonella enterica	multidrug	acrD	chromosome	1.0
Salmonella enterica	multidrug	bcr	chromosome	1.0
Salmonella enterica	multidrug	emrA	chromosome	1.0
Salmonella enterica	multidrug	emrB	chromosome	1.0
Salmonella enterica	multidrug	emrD	chromosome	1.0
Salmonella enterica	multidrug	mdfA	chromosome	1.0
Salmonella enterica	multidrug	mdtA	chromosome	1.0
Salmonella enterica	multidrug	mdtB	chromosome	1.0
Salmonella enterica	multidrug	mdtC	chromosome	1.0
Salmonella enterica	multidrug	mdtG	chromosome	1.0
Salmonella enterica	multidrug	mdtH	chromosome	1.0
Salmonella enterica	multidrug	mdtI	chromosome	1.0
Salmonella enterica	multidrug	mdtJ	chromosome	1.0
Salmonella enterica	multidrug	mdtK	chromosome	1.0
Salmonella enterica	multidrug	mdtL	chromosome	1.0
Salmonella enterica	multidrug	mdtM	chromosome	1.0
Salmonella enterica	multidrug	mdtQ	chromosome	1.0
Salmonella enterica	multidrug	smdA	chromosome	1.0
Salmonella enterica	multidrug	smdB	chromosome	1.0
Salmonella enterica	multidrug	tolC	chromosome	1.0
Yersinia enterocolitica	bacitracin	bacA	chromosome	2.0
Yersinia enterocolitica	beta-lactam	bla*	chromosome	1.0
Yersinia enterocolitica	beta-lactam	blaA	chromosome	1.0
Yersinia enterocolitica	biocide	smvA	chromosome	1.0
Yersinia enterocolitica	biocide	sugE	chromosome	1.0
Yersinia enterocolitica	colistin	arnA	chromosome	1.0
Yersinia enterocolitica	colistin	arnB	chromosome	1.0
Yersinia enterocolitica	colistin	arnC	chromosome	1.0
Yersinia enterocolitica	colistin	arnD	chromosome	1.0
Yersinia enterocolitica	colistin	arnE	chromosome	1.0
Yersinia enterocolitica	colistin	arnF	chromosome	1.0
Yersinia enterocolitica	colistin	arnT	chromosome	1.0
Yersinia enterocolitica	colistin	eptA	chromosome	1.0
Yersinia enterocolitica	colistin	eptB	chromosome	1.0
Yersinia enterocolitica	colistin	rosA	chromosome	1.0
Yersinia enterocolitica	colistin	rosB	chromosome	1.0
Yersinia enterocolitica	macrolide-lincosamide-streptogramin	macA	chromosome	1.0
Yersinia enterocolitica	macrolide-lincosamide-streptogramin	macB	chromosome	2.0
Yersinia enterocolitica	macrolide-lincosamide-streptogramin	vat(F)	chromosome	1.0
Yersinia enterocolitica	multidrug	acrA	chromosome	1.0
Yersinia enterocolitica	multidrug	acrB	chromosome	1.0
Yersinia enterocolitica	multidrug	acrD	chromosome	1.0
Yersinia enterocolitica	multidrug	emrA	chromosome	1.0
Yersinia enterocolitica	multidrug	emrB	chromosome	1.0
Yersinia enterocolitica	multidrug	emrD	chromosome	1.0
Yersinia enterocolitica	multidrug	mdtC	chromosome	1.0
Yersinia enterocolitica	multidrug	mdtG	chromosome	1.0
Yersinia enterocolitica	multidrug	mdtH	chromosome	1.0
Yersinia enterocolitica	multidrug	mdtI	chromosome	1.0
Yersinia enterocolitica	multidrug	mdtJ	chromosome	1.0
Yersinia enterocolitica	multidrug	mdtN	chromosome	1.0
Yersinia enterocolitica	multidrug	smdA	chromosome	1.0
Yersinia enterocolitica	multidrug	smdB	chromosome	1.0
Yersinia enterocolitica	multidrug	tolC	chromosome	1.0
