species	type	subtype	carrier	cnt
Salmonella enterica	multidrug	emrD	chromosome	1.0
Salmonella enterica	multidrug	mdfA	chromosome	1.0
Salmonella enterica	multidrug	mdsA	chromosome	1.0
Salmonella enterica	multidrug	mdsB	chromosome	1.0
Salmonella enterica	multidrug	mdsC	chromosome	1.0
Salmonella enterica	multidrug	mdtA	chromosome	1.0
Salmonella enterica	multidrug	mdtB	chromosome	1.0
Salmonella enterica	multidrug	mdtC	chromosome	1.0
Salmonella enterica	multidrug	mdtG	chromosome	1.0
Salmonella enterica	multidrug	mdtH	chromosome	1.0
Salmonella enterica	multidrug	mdtI	chromosome	1.0
Salmonella enterica	multidrug	mdtJ	chromosome	1.0
Salmonella enterica	multidrug	mdtK	chromosome	1.0
Salmonella enterica	multidrug	mdtL	chromosome	1.0
Salmonella enterica	multidrug	mdtM	chromosome	1.0
Salmonella enterica	multidrug	mdtQ	chromosome	1.0
Salmonella enterica	multidrug	smdA	chromosome	1.0
Salmonella enterica	multidrug	smdB	chromosome	1.0
Salmonella enterica	multidrug	tolC	chromosome	1.0
